EngineRuntime(s),Fuel_Level_Average
205,31.4
248,31.4
340,31.4
365,31.4
459,31.8
468,31.8
652,32.1
711,32.1
820,29.64
896,29.64
1688,22.7
1688,22.7
2304,26.7
2380,26.7
2506,26.5
2531,26.5
2636,24.3
2645,24.3
